smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
NS(=O)(=O)c1cnccc1Sc1ccncc1S(N)(=O)=O,346.42,-0.077,2,7,True,infection
CSc1ccncc1S(N)(=O)=O,204.28,0.451,1,4,True,infection
N#CCSc1ccncc1S(N)(=O)=O,229.29,0.345,1,5,True,infection
C#CCSc1ccncc1S(N)(=O)=O,228.3,0.454,1,4,True,infection
NS(=O)(=O)c1cnccc1SCc1ccccc1,280.37,2.021,1,4,True,infection
NC(=O)CSc1ccncc1S(N)(=O)=O,247.3,-0.694,2,5,True,infection
C=CCNc1ccncc1S(N)(=O)=O,213.26,0.327,2,4,True,infection
CC1CC=NN1c1ccncc1S(N)(=O)=O,240.29,0.313,1,5,True,infection
CNNc1ccncc1S(N)(=O)=O,202.24,-0.725,3,5,True,infection
NNc1ccncc1S(N)(=O)=O,188.21,-0.985,3,5,True,infection
NS(=O)(=O)c1ccc(CCNc2ccncc2S(N)(=O)=O)cc1,356.43,0.031,3,6,True,infection
N#Cc1cc2c(cc1Cl)SC(NNc1ccncc1S(N)(=O)=O)=NS2(=O)=O,444.91,1.021,3,9,True,infection
Cc1cc2c(cc1Cl)SC(NNc1ccncc1S(N)(=O)=O)=NS2(=O)=O,433.92,1.458,3,8,True,infection
NS(=O)(=O)c1cnccc1NNC1=NS(=O)(=O)c2cnccc2S1,386.44,-0.109,3,9,True,infection
Nc1c(F)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,387.83,0.361,3,8,True,infection
NS(=O)(=O)c1nnc(NC(=O)C23CC4CC(CC(C4)C2)C3)s1,342.45,1.34,2,6,True,infection
NS(=O)(=O)c1nnc(NC(=O)CC23CC4CC(CC(C4)C2)C3)s1,356.47,1.73,2,6,True,infection
Cc1cc(C)[n+](CCc2ccc(S(N)(=O)=O)cc2)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],404.87,-2.967,1,6,True,infection
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,381.38,3.514,1,3,True,infection
NCCNCCCNCCN,160.26,-1.527,4,4,True,infection
CN(C)CCN(C)CCN(C)CCN(C)C,230.4,-0.027,0,4,True,infection
NCCCCCCN,116.21,0.464,2,2,True,infection
NCCCCCN,102.18,0.074,2,2,True,infection
NCCNCCN,103.17,-1.507,3,3,True,infection
NCCNc1cccc2ccccc12,186.26,2.21,2,2,True,infection
NCCCNCCCCNCCCNC(=O)Cc1cccc2ccccc12,370.54,2.197,4,4,True,infection
O=C(NCCCNCCCCNCCCNC(=O)C(F)(F)F)C(F)(F)F,394.36,1.083,4,4,True,infection
CC(C)(C)OC(=O)N(CCCN)CCCCN(CCCN)C(=O)OC(C)(C)C,402.58,2.938,2,6,True,infection
O=C(NCCNCCCNCCNC(=O)C(F)(F)F)C(F)(F)F,352.28,-0.087,4,4,True,infection
O=C(NCCNCCNCCNC(=O)C(F)(F)F)C(F)(F)F,338.25,-0.477,4,4,True,infection
